h_tot_m [mm],PT8_w_m [°C],PT6_m [°C],PT5_m [°C],PT4_m [°C],PT3_m [°C],PT3_m [°C],PT1_c_m [°C],time_h_m [h]
2.072102672,10.46017,6.328598,4.037012,1.476367,-1.526758,-1.526758,-8.165088,7.866666667
2.082664172,10.45159,6.322795,4.034814,1.491252,-1.517424,-1.517424,-8.14458,7.9
2.092693172,10.45865,6.324057,4.033594,1.482926,-1.519189,-1.519189,-8.146289,7.933333333
2.101928172,10.40592,6.268555,3.988916,1.453284,-1.567627,-1.567627,-8.166553,7.966666667
2.109966172,10.38423,6.259473,3.971582,1.415568,-1.590837,-1.590837,-8.172168,8
2.120667672,10.36329,6.248121,3.953394,1.417839,-1.590584,-1.590584,-8.161304,8.033333333
2.130231172,10.32406,6.196151,3.910547,1.368392,-1.623633,-1.623633,-8.203906,8.066666667
2.138425672,10.32847,6.181519,3.908838,1.359058,-1.628426,-1.628426,-8.201221,8.1
2.146349172,10.30628,6.184042,3.894678,1.374195,-1.642554,-1.642554,-8.190478,8.133333333
2.157609172,10.29568,6.144686,3.850245,1.319955,-1.661475,-1.661475,-8.210742,8.166666667
2.168890672,10.276,6.131063,3.849756,1.303556,-1.669295,-1.669295,-8.185596,8.2
2.177953672,10.26389,6.11189,3.826075,1.290186,-1.681909,-1.681909,-8.197314,8.233333333
2.184917672,10.25204,6.089942,3.816797,1.294979,-1.692757,-1.692757,-8.209765,8.266666667
2.191982172,10.20536,6.056641,3.787989,1.241244,-1.730347,-1.730347,-8.239306,8.3
2.199799672,10.22151,6.080103,3.80398,1.271517,-1.703101,-1.703101,-8.19707,8.333333333
2.205046672,10.17534,6.010475,3.746485,1.212988,-1.759611,-1.759611,-8.24834,8.366666667
2.210262172,10.16853,6.021826,3.728174,1.21097,-1.774243,-1.774243,-8.232715,8.4
2.216539172,10.17459,6.014511,3.74795,1.22207,-1.738924,-1.738924,-8.217822,8.433333333
2.224324172,10.12236,5.977426,3.707666,1.185995,-1.790389,-1.790389,-8.233691,8.466666667
2.232227672,10.15894,5.998617,3.74917,1.211475,-1.748511,-1.748511,-8.20415,8.5
2.239621172,10.12085,5.974524,3.695948,1.1672,-1.777523,-1.777523,-8.231982,8.533333333
2.250989172,10.09512,5.93479,3.682764,1.144116,-1.814608,-1.814608,-8.242602,8.566666667
2.258793172,10.09487,5.938323,3.680567,1.164299,-1.795687,-1.795687,-8.241138,8.6
2.268627172,10.1042,5.907797,3.682764,1.161271,-1.803508,-1.803508,-8.23125,8.633333333
2.280039672,10.05299,5.901994,3.633692,1.118636,-1.836304,-1.836304,-8.257861,8.666666667
2.291021672,10.03987,5.897201,3.649317,1.114347,-1.826717,-1.826717,-8.238818,8.7
2.302161172,10.03003,5.885849,3.615381,1.093408,-1.84034,-1.84034,-8.244922,8.733333333
2.310771672,9.982854,5.831104,3.571192,1.04598,-1.903284,-1.903284,-8.271777,8.766666667
2.319312172,9.977555,5.816345,3.569239,1.062,-1.90669,-1.90669,-8.263965,8.8
2.328208172,9.981088,5.849268,3.581446,1.066162,-1.883228,-1.883228,-8.236621,8.833333333
2.338163172,9.955607,5.812183,3.567407,1.042448,-1.907446,-1.907446,-8.237475,8.866666667
2.345739172,9.922559,5.763998,3.51687,1.002588,-1.938224,-1.938224,-8.277392,8.9
2.352892672,9.919784,5.777621,3.511866,0.9859376,-1.933179,-1.933179,-8.267871,8.933333333
2.358768672,9.894303,5.737004,3.496485,0.9660075,-1.960677,-1.960677,-8.276172,8.966666667
2.365296172,9.880681,5.735743,3.504297,0.9538982,-1.973796,-1.973796,-8.261035,9
2.372180172,9.886483,5.719345,3.476465,0.9395183,-1.96547,-1.96547,-8.250781,9.033333333
2.378032672,9.880681,5.720101,3.470362,0.9480957,-1.982751,-1.982751,-8.266162,9.066666667
2.385020672,9.845614,5.702442,3.458643,0.9165609,-1.995996,-1.995996,-8.274951,9.1
2.393074172,9.806764,5.648706,3.423731,0.8587891,-2.0351,-2.0351,-8.296802,9.133333333
2.404311172,9.823792,5.667627,3.438867,0.8910808,-2.012647,-2.012647,-8.270556,9.166666667
2.413955672,9.793897,5.640129,3.405909,0.8701417,-2.049479,-2.049479,-8.292285,9.2
2.423499172,9.769678,5.621208,3.386133,0.8320476,-2.058561,-2.058561,-8.300342,9.233333333
2.432977672,9.764128,5.604558,3.37417,0.8186768,-2.060832,-2.060832,-8.296435,9.266666667
